index,Package,Vulnerability,OS,Package_Version
171,python,ELSA-2015-1330,oracle:6,0:2.6.6-64.0.1.el6
172,python,ELSA-2011-0554,oracle:6,0:2.6.6-20.el6
173,python,ELSA-2011-0492,oracle:5,0:2.4.3-44.el5
174,python,ELSA-2009-1176,oracle:5,0:2.4.3-24.el5_3.6
175,python,ELSA-2012-0745,oracle:5,0:2.4.3-46.el5_8.2
176,python,ELSA-2011-0027,oracle:5,0:2.4.3-43.el5
177,python,RHSA-2011:0027,centos:5,0:2.4.3-43.el5
178,python,RHSA-2009:1176,centos:5,0:2.4.3-24.el5_3.6
179,python,RHSA-2012:0745,centos:5,0:2.4.3-46.el5_8.2
180,python,RHSA-2011:0492,centos:5,0:2.4.3-44.el5
181,python,RHSA-2015:1330,centos:6,0:2.6.6-64.el6
182,python,RHSA-2016:1626,centos:6,0:2.6.6-66.el6_8
183,python,RHSA-2019:1467,centos:6,0:2.6.6-68.el6_10
184,python,RHSA-2011:0554,centos:6,0:2.6.6-20.el6
185,python,RHSA-2012:0744,centos:6,0:2.6.6-29.el6_2.2
186,python,RHSA-2013:1582,centos:6,0:2.6.6-51.el6
187,python,RHSA-2019:2030,centos:7,0:2.7.5-86.el7
188,python,RHSA-2015:2101,centos:7,0:2.7.5-34.el7
189,python,RHSA-2016:1626,centos:7,0:2.7.5-38.el7_2
190,python,RHSA-2018:2123,centos:7,0:2.7.5-69.el7_5
191,python,RHSA-2019:0710,centos:7,0:2.7.5-77.el7_6
192,python,RHSA-2017:1868,centos:7,0:2.7.5-58.el7
193,python,RHSA-2019:1587,centos:7,0:2.7.5-80.el7_6
194,python,RHSA-2018:3041,centos:7,0:2.7.5-76.el7
195,python,RHSA-2016:2586,centos:7,0:2.7.5-48.el7
196,yum-utils,CVE-2018-10897,debian:unstable,1.1.31-2.2
197,yum-utils,CVE-2018-10897,debian:8,#MAXV#
198,yum-utils,CVE-2018-10897,debian:10,1.1.31-2.2
199,yum-utils,CVE-2018-10897,debian:9,#MAXV#
200,yum-utils,ELSA-2018-2285,oracle:7,0:1.1.31-46.0.1.el7_5
201,yum-utils,ELSA-2018-2284,oracle:6,0:1.1.30-42.0.1.el6_10
202,yum-utils,RHSA-2018:2284,centos:6,0:1.1.30-42.el6_10
203,yum-utils,RHSA-2018:2285,centos:7,0:1.1.31-46.el7_5
204,vim,CVE-2017-6350,alpine:v3.9,8.0.1521-r0
205,vim,CVE-2017-5953,alpine:v3.9,8.0.0329-r0
206,vim,CVE-2017-6349,alpine:v3.9,8.0.1521-r0
207,vim,CVE-2019-12735,alpine:v3.9,8.1.1365
208,vim,CVE-2016-1248,alpine:v3.9,8.0.0056-r0
209,vim,CVE-2017-6349,alpine:v3.10,8.0.1521-r0
210,vim,CVE-2016-1248,alpine:v3.10,8.0.0056-r0
211,vim,CVE-2017-5953,alpine:v3.10,8.0.0329-r0
212,vim,CVE-2017-6350,alpine:v3.10,8.0.1521-r0
