,Unnamed: 0,index,Package,Vulnerability,OS,Package_Version,OS_base_name,Date_Reported,Date_Fixed,Days_For_Fix
97,239,239,vim,CVE-2008-3075,debian:8,2:7.2.010-1,debian,2008-07-16,,
98,241,241,vim,CVE-2007-2438,debian:8,1:7.1-022+1,debian,2007-04-26,,
99,242,242,vim,CVE-2007-2953,debian:8,1:7.1-056+1,debian,2007-07-27,,
100,243,243,vim,CVE-2017-1000382,debian:8,#MAXV#,debian,2017-10-31,,
101,244,244,vim,CVE-2008-4677,debian:8,#MAXV#,debian,2008-08-12,,
102,245,245,vim,CVE-2008-6235,debian:8,2:7.2.148-1,debian,2008-07-16,,
103,247,247,vim,CVE-2009-0316,debian:8,2:7.2.025-2,debian,2009-01-26,,
104,248,248,vim,CVE-2017-11109,debian:8,2:7.4.488-7+deb8u4,debian,2017-07-08,,
105,249,249,vim,CVE-2005-2368,debian:8,1:6.3-085+1,debian,2005-07-26,,
106,250,250,vim,CVE-2004-1138,debian:8,1:6.3-046+0sarge1,debian,2004-12-15,,
107,251,251,vim,CVE-2005-0069,debian:8,1:6.3-058+1,debian,2005-01-13,,
108,274,274,vim,CVE-2018-20786,debian:10,2:8.1.0693-1,debian,2018-12-24,2019-01-06,13.0
109,343,343,perl,CVE-2017-12837,alpine:v3.9,5.26.1-r0,alpine,2017-09-15,,
110,344,344,perl,CVE-2017-12883,alpine:v3.9,5.26.1-r0,alpine,2017-09-15,,
111,345,345,perl,CVE-2018-18314,alpine:v3.9,5.26.3-r0,alpine,2018-11-29,,
112,346,346,perl,CVE-2018-6913,alpine:v3.9,5.26.2-r0,alpine,2018-04-15,,
113,347,347,perl,CVE-2018-18311,alpine:v3.9,5.26.3-r0,alpine,2018-11-29,,
114,348,348,perl,CVE-2018-6798,alpine:v3.9,5.26.2-r0,alpine,2018-04-15,,
115,349,349,perl,CVE-2018-18313,alpine:v3.9,5.26.3-r0,alpine,2018-11-29,,
116,350,350,perl,CVE-2018-12015,alpine:v3.9,5.26.2-r1,alpine,2018-06-08,,
117,351,351,perl,CVE-2018-6797,alpine:v3.9,5.26.2-r0,alpine,2018-04-15,,
118,352,352,perl,CVE-2018-18312,alpine:v3.9,5.26.3-r0,alpine,2018-11-29,,
119,353,353,perl,CVE-2016-9840,alpine:v3.5,5.24.3-r1,alpine,2016-12-05,,
120,354,354,perl,CVE-2016-9841,alpine:v3.5,5.24.3-r1,alpine,2016-12-05,,
121,357,357,perl,CVE-2016-9843,alpine:v3.5,5.24.3-r1,alpine,2016-12-05,,
122,358,358,perl,CVE-2016-9842,alpine:v3.5,5.24.3-r1,alpine,2016-12-05,,
123,409,409,perl,CVE-2016-1238,alpine:v3.3,5.22.3-r0,alpine,2016-07-25,,
124,413,413,perl,CVE-2005-3962,debian:10,5.8.7-9,debian,2005-12-01,,
